time (s),stimulus_on,orientation,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10
0,1,0,0.090390981,0.183725899,0.16770155,0.27843429,0.248103478,0.194756133,0.239038384,0.195330931,0.231637606,0.207792717
0.1,1,0,0.283505674,0.398761674,0.350794596,0.204633593,0.297471279,0.257608021,0.352536932,0.303840928,0.336691818,0.287796743
0.2,1,0,0.486097297,0.319750023,0.30334336,0.303140797,0.544354357,0.334099248,0.394350852,0.393545023,0.487041539,0.217585116
0.3,1,0,0.751288067,0.346086904,0.396399125,0.541043156,0.585540847,0.461785833,0.425953977,0.467345159,0.712788195,0.472826281
0.4,1,0,0.726482311,0.459031607,0.502274865,0.457472248,0.827854131,0.473495638,0.511359814,0.52218289,0.866354039,0.557429689
0.5,1,0,0.992885565,0.665603866,0.578014391,0.52234853,0.95870635,0.459112318,0.53916122,0.636246439,0.924428597,0.63545426
0.6,1,0,1.004016686,0.541364428,0.5738858,0.675880684,0.964954244,0.592684478,0.620624854,0.595057543,1.025418589,0.584068424
0.7,1,0,1.100456477,0.607130547,0.623114615,0.715363766,1.042368818,0.75873833,0.688346524,0.722991633,1.092463853,0.669428539
0.8,1,0,1.234399287,0.63919389,0.808636667,0.665692329,1.07381945,0.596958305,0.788926014,0.662015318,1.181318077,0.647520005
0.9,1,0,1.239879668,0.729512335,0.692880336,0.715217462,1.200916106,0.622542317,0.650353817,0.705224927,1.246661487,0.635820587
1,1,0,1.164028745,0.736717143,0.640584669,0.682055878,1.180342537,0.687228496,0.650989861,0.766105814,1.22192121,0.80405691
1.1,1,0,1.20130256,0.62110565,0.723569821,0.618137808,1.209797818,0.670347414,0.64811407,0.663626869,1.215113951,0.686198728
1.2,1,0,1.099183469,0.649850369,0.534718014,0.725123399,1.192399884,0.633546596,0.542177037,0.62060647,1.137610251,0.624294566
1.3,1,0,1.16327759,0.635857927,0.65337832,0.581418596,1.07981997,0.611986716,0.593590291,0.632062894,1.025229586,0.548216271
1.4,1,0,0.920870186,0.513478383,0.558443348,0.638289154,0.871328963,0.53097996,0.580634615,0.564759747,0.977798533,0.611508403
1.5,1,0,0.817108432,0.541548463,0.51874598,0.563753513,0.777899019,0.507960412,0.526349505,0.481686232,0.736943755,0.537578999
1.6,1,0,0.687359475,0.392019953,0.455176302,0.263713524,0.681185539,0.385057298,0.366276284,0.427333676,0.653066122,0.351638709
1.7,1,0,0.518373314,0.347390298,0.343555341,0.41563511,0.511472246,0.392496144,0.314904402,0.333454813,0.495963635,0.495982277
1.8,1,0,0.310255949,0.311957323,0.30439487,0.22150657,0.322535773,0.323164324,0.27883341,0.324178873,0.319145702,0.287457282
1.9,1,0,0.237671942,0.205772204,0.258438791,0.240995694,0.239554185,0.147651324,0.228929651,0.163368044,0.194617031,0.157848159
2,0,,0.099455078,0.183484878,0.135727558,0.19518349,0.157790509,0.206109124,0.142380099,0.17918928,0.185895738,0.119119005
2.1,0,,0.159228125,0.272866967,0.247666957,0.282665119,0.071349925,0.245950887,0.245809212,0.249275998,0.164706638,0.263379937
2.2,0,,0.302779772,0.110500594,0.149901809,0.245221446,0.226437527,0.253771414,0.225280325,0.244035933,0.164155602,0.17615845
